dataset,domain,temperature_unit,temperature_semantics,feature,sample_count,pearson_r,spearman_rho,mutual_information_binned,linear_r2,trend_direction
wumu,simulation,K,solver case/field temperature tag,peak_time_s,1000,0.9993608460670128,0.9997131373454449,1.6787233248794151,0.9987221006517751,increasing
wumu,simulation,K,solver case/field temperature tag,peak_time_fraction,1000,0.999359391528173,0.9997131373454449,1.6787233248794151,0.9987191934355601,increasing
wumu,simulation,K,solver case/field temperature tag,peak_abs,1000,0.9993734088762168,0.999969135969136,1.6011022026618555,0.9987472103688704,increasing
wumu,simulation,K,solver case/field temperature tag,rms,1000,0.9887248596748852,0.998958086958087,1.6584056725749063,0.9775768481391217,increasing
wumu,simulation,K,solver case/field temperature tag,energy_mean_square,1000,0.9895580165660398,0.998958086958087,1.662769402366782,0.9792250681501146,increasing
wumu,simulation,K,solver case/field temperature tag,dominant_frequency_hz,1000,-0.1714174668569575,-0.3130047112055775,1.254730458251136,0.02938394794365584,decreasing
wumu,simulation,K,solver case/field temperature tag,dominant_frequency_fraction,1000,0.19711494300392973,-0.0025373661502054155,0.4042612037055304,0.03885430075544227,weak_or_flat
wumu,simulation,K,solver case/field temperature tag,spectral_centroid_hz,1000,0.5495115801600825,0.4635825195825196,0.6038916581046302,0.30196297673003103,increasing
wumu,simulation,K,solver case/field temperature tag,spectral_centroid_fraction,1000,0.9947097887805487,0.993899901899902,1.4676246248016198,0.9894475638958441,increasing
wumu,simulation,K,solver case/field temperature tag,spectral_bandwidth_hz,1000,0.7353139043977496,0.8249402609402611,0.5757131362329794,0.5406865380006629,increasing
wumu,simulation,K,solver case/field temperature tag,spectral_bandwidth_fraction,1000,0.7527779334195046,0.8478718998719,0.5994166978191167,0.5666746170433404,increasing
wumu_post0_waveforms,experiment,degC,filename-encoded nominal value; physical meaning unconfirmed,peak_time_s,213,0.44333273336678847,0.2938480983733552,0.22653948822775916,0.19654391247446823,increasing
wumu_post0_waveforms,experiment,degC,filename-encoded nominal value; physical meaning unconfirmed,peak_time_fraction,213,0.4433327333667888,0.2936935542587382,0.22653948822775916,0.19654391247446823,increasing
wumu_post0_waveforms,experiment,degC,filename-encoded nominal value; physical meaning unconfirmed,peak_abs,213,0.19208345865975932,0.19026991650209685,0.1369262066255985,0.03689605509069549,increasing
wumu_post0_waveforms,experiment,degC,filename-encoded nominal value; physical meaning unconfirmed,rms,213,0.3546432728913186,0.3270925504762416,0.20518691308697815,0.12577185100706645,increasing
wumu_post0_waveforms,experiment,degC,filename-encoded nominal value; physical meaning unconfirmed,energy_mean_square,213,0.3603769276356019,0.3270925504762416,0.186151172232221,0.12987152997207596,increasing
wumu_post0_waveforms,experiment,degC,filename-encoded nominal value; physical meaning unconfirmed,dominant_frequency_hz,213,0.18736989132026832,0.19701374405296931,0.30117974685938126,0.03510747617336907,increasing
wumu_post0_waveforms,experiment,degC,filename-encoded nominal value; physical meaning unconfirmed,dominant_frequency_fraction,213,0.18736989132026827,0.19701374405296931,0.30117974685938126,0.0351074761733694,increasing
wumu_post0_waveforms,experiment,degC,filename-encoded nominal value; physical meaning unconfirmed,spectral_centroid_hz,213,-0.3362897776083351,-0.34173958845876035,0.2143718653075987,0.1130908145238636,decreasing
wumu_post0_waveforms,experiment,degC,filename-encoded nominal value; physical meaning unconfirmed,spectral_centroid_fraction,213,-0.3362897776083351,-0.34173958845876035,0.2143718653075987,0.11309081452386349,decreasing
wumu_post0_waveforms,experiment,degC,filename-encoded nominal value; physical meaning unconfirmed,spectral_bandwidth_hz,213,-0.42528011939915344,-0.44439428683056087,0.25279319877352013,0.18086317995615808,decreasing
wumu_post0_waveforms,experiment,degC,filename-encoded nominal value; physical meaning unconfirmed,spectral_bandwidth_fraction,213,-0.4252801193991534,-0.44439428683056087,0.25279319877352013,0.1808631799561582,decreasing
