dataset,domain,feature,sample_count,mean,std,q10,median,q90,min,max
wumu,simulation,peak_time_fraction,1000,0.23900354104312418,0.003970685414949947,0.2336728579988017,0.23890258939580764,0.2446072825590447,0.23237131806010114,0.24616858237547887
wumu,simulation,dominant_frequency_hz,1000,2529449.9999999907,139320.4848541702,2350000.000000156,2499999.999999974,2749999.9999999446,2249999.999999789,2800000.0000001756
wumu,simulation,dominant_frequency_fraction,1000,0.031177723124324794,0.0017254008513483568,0.02993973835767955,0.03020030816640986,0.03354455472299752,0.026825633383010434,0.033634381812519466
wumu,simulation,spectral_centroid_hz,1000,2529862.04929087,6642.163340887818,2524573.678464063,2526537.8649698314,2541342.5700365882,2521605.6879550694,2548127.158326791
wumu,simulation,spectral_centroid_fraction,1000,0.03118978565673524,0.0006880251681440977,0.03025585340027097,0.03112234617328341,0.032139944332379496,0.03004893577283438,0.032412552976967796
wumu,simulation,spectral_bandwidth_hz,1000,442442.7699860531,170995.66927252815,287943.1037881107,354177.6756745395,734676.6824320582,284029.6349766684,836860.2014799411
wumu,simulation,spectral_bandwidth_fraction,1000,0.005486374016423785,0.0022100164737559854,0.0034580766532458012,0.004399523141799172,0.009308008335956007,0.0033904071390373374,0.010573091616928706
wumu_post0_waveforms,experiment,mean,213,-0.00029285215422444574,0.00016116989308232493,-0.0005146759801684525,-0.00028202823637248704,-9.804658942337793e-05,-0.0006639326966715588,6.998690957987594e-05
wumu_post0_waveforms,experiment,std,213,0.7342492926506794,0.29172935502517,0.40344879975832915,0.6667910989716163,1.1735839534017996,0.3174645076793629,1.5070234893524035
wumu_post0_waveforms,experiment,rms,213,0.7342493925038472,0.2917292952160863,0.4034490573593943,0.6667912341598397,1.1735839596130908,0.31746460534643284,1.5070234959138502
wumu_post0_waveforms,experiment,peak_abs,213,6.58871502087557,1.8105555005722709,3.6395884504663027,7.257884330374264,8.351043187173426,2.9353951243783554,8.527312052877441
wumu_post0_waveforms,experiment,peak_to_peak,213,12.802427729647407,3.74186198666403,6.6480229788934375,14.180733956030744,16.364396210816647,5.484251117525152,16.69545022713202
wumu_post0_waveforms,experiment,energy_mean_square,213,0.6242281520795432,0.5037883116402809,0.16277180127931332,0.4446105499524021,1.3773049970197389,0.10078377564776636,2.271119817236402
wumu_post0_waveforms,experiment,crest_factor,213,9.387568002346526,1.6306376558270788,7.067041989518505,9.654189889182687,11.535138876375793,5.392064313316992,12.926293340663038
wumu_post0_waveforms,experiment,skewness,213,0.6458416222788962,0.37941071327625325,0.08132243422500382,0.6670044555304456,1.149955124317078,-0.05228871825365887,1.5687843121048048
wumu_post0_waveforms,experiment,kurtosis,213,36.31324210545683,8.552959011411001,24.291840473592963,36.852922598826986,47.33275476533955,14.568512085208429,53.791014782381986
wumu_post0_waveforms,experiment,zero_crossing_rate,213,0.004023381290027414,0.0002750819806286669,0.0036924213052709313,0.004000123080710176,0.004424751530816333,0.0035693405950952338,0.004984768762115757
wumu_post0_waveforms,experiment,peak_time_s,213,9.624244131455398e-07,6.444802176586138e-07,3.733600000000066e-07,7.556000000000047e-07,2.1435999999999993e-06,2.795999999999985e-07,2.2924000000000007e-06
wumu_post0_waveforms,experiment,peak_time_fraction,213,0.07546479942250299,0.02478846340112827,0.05280777870088315,0.06750976953137028,0.12089602757007908,0.049201513892735145,0.1266192805932491
wumu_post0_waveforms,experiment,dominant_frequency_hz,213,2387143.3730637417,158845.28186310237,2192307.6923121703,2384615.3846202553,2576923.0769283404,2038461.538465702,2576923.0769283404
wumu_post0_waveforms,experiment,dominant_frequency_fraction,213,0.003819429396894186,0.0002541524509804448,0.0035076923076923085,0.003815384615384616,0.004123076923076924,0.003261538461538462,0.004123076923076924
wumu_post0_waveforms,experiment,spectral_centroid_hz,213,3474075.2753798957,498978.53982829006,2658138.9634781815,3629357.572046998,4000015.8722788775,2417310.416159047,4263234.975253406
wumu_post0_waveforms,experiment,spectral_centroid_fraction,213,0.005558520440596479,0.0007983656637236334,0.004253022341556404,0.005806972115263337,0.006400025395633132,0.0038676966658465757,0.006821175960391518
wumu_post0_waveforms,experiment,spectral_bandwidth_hz,213,2532072.578301197,676177.556468406,1457332.5421035183,2707444.047675107,3277227.6784919873,1036377.1987148583,3539123.2470922126
wumu_post0_waveforms,experiment,spectral_bandwidth_fraction,213,0.004051316125273642,0.00108188409034724,0.002331732067360867,0.004331910476271324,0.00524356428557647,0.0016582035179403866,0.005662597195335975
