run_type,run_label,sample_id,node_id,x_m,y_m,x_norm,y_norm,target_temperature_k,predicted_temperature_k,error_k
transient,??,worker_01_case_0001_T0301p201K,83116,0.05025000125169754,0.005756475497037172,0.5025000050291418,0.28782378128522146,301.2007751464844,311.15972900390625,9.958953857421875
transient,??,worker_01_case_0001_T0301p201K,103430,0.05034999921917915,0.0059296805411577225,0.5034999846890571,0.2964840336848207,301.2007751464844,311.4320068359375,10.231231689453125
transient,??,worker_01_case_0001_T0301p201K,14689,0.04969999939203262,0.0063626933842897415,0.4969999865144493,0.3181346763253512,301.20074462890625,311.14312744140625,9.9423828125
transient,??,worker_01_case_0001_T0301p201K,71077,0.05065000057220459,0.006622500717639923,0.5064999981746078,0.3311250432832176,301.2007141113281,311.5269775390625,10.326263427734375
transient,??,worker_01_case_0001_T0301p201K,58050,0.050450000911951065,0.0067957062274217606,0.5045000016018748,0.33978531896588177,301.2007141113281,311.63916015625,10.438446044921875
transient,??,worker_01_case_0001_T0301p201K,44659,0.04924999922513962,0.006968911271542311,0.4924999849125745,0.348445571365481,301.20068359375,311.3751220703125,10.1744384765625
transient,??,worker_01_case_0001_T0301p201K,22250,0.05040000006556511,0.007228718604892492,0.503999993145466,0.36143593832334736,301.20068359375,311.56072998046875,10.36004638671875
transient,??,worker_01_case_0001_T0301p201K,6927,0.05079999938607216,0.007575128693133593,0.5079999862909319,0.37875644312254586,301.2006530761719,311.410400390625,10.209747314453125
transient,??,worker_01_case_0001_T0301p201K,45426,0.050050001591444016,0.007834936492145061,0.5005000084564089,0.39174683336347715,301.20062255859375,311.3306884765625,10.13006591796875
transient,??,worker_01_case_0001_T0301p201K,29255,0.050599999725818634,0.00792153924703598,0.5059999897181989,0.3960769712048092,301.20062255859375,311.08489990234375,9.88427734375
transient,??,worker_01_case_0001_T0301p201K,65167,0.049150001257658005,0.008181346580386162,0.49150000525265924,0.4090673381626756,301.2005920410156,311.4031982421875,10.202606201171875
transient,??,worker_01_case_0001_T0301p201K,60899,0.049949999898672104,0.008354552090168,0.49949999154359115,0.41772761384533974,301.2005920410156,311.2081298828125,10.007537841796875
transient,??,worker_01_case_0001_T0301p201K,37889,0.05054999887943268,0.008527756668627262,0.5054999812617901,0.4263878429618741,301.2005920410156,311.072265625,9.871673583984375
transient,??,worker_01_case_0001_T0301p201K,19984,0.049400001764297485,0.00861435942351818,0.49400001028180107,0.4307179808032061,301.2005615234375,311.478515625,10.2779541015625
transient,??,worker_01_case_0001_T0301p201K,37530,0.049150001257658005,0.0087009621784091,0.49150000525265924,0.4350481186445382,301.2005615234375,311.4281005859375,10.2275390625
transient,??,worker_01_case_0001_T0301p201K,39288,0.0494999997317791,0.009307179600000381,0.49499998994171635,0.46535899040160306,301.2005310058594,311.73956298828125,10.539031982421875
transient,??,worker_01_case_0001_T0301p201K,91032,0.05054999887943268,0.0093937823548913,0.5054999812617901,0.4696891282429351,301.20050048828125,311.494140625,10.29364013671875
transient,??,worker_01_case_0001_T0301p201K,108099,0.049550000578165054,0.009566986933350563,0.4954999983981252,0.4783493573594695,301.20050048828125,311.2220458984375,10.02154541015625
transient,??,worker_01_case_0001_T0301p201K,107564,0.05009999871253967,0.009653589688241482,0.5009999796599153,0.48267949520080156,301.20050048828125,311.37628173828125,10.17578125
transient,??,worker_01_case_0001_T0301p201K,1255,0.05000000074505806,0.009999999776482582,0.5,0.5,301.2004699707031,311.43048095703125,10.230010986328125
transient,??,worker_01_case_0001_T0301p201K,146294,0.049903810024261475,0.010161356069147587,0.4990380928063677,0.50806781481358,301.1997375488281,311.31719970703125,10.117462158203125
transient,??,worker_01_case_0001_T0301p201K,231803,0.05075014755129814,0.010242010466754436,0.5075014679506202,0.5121005347840607,301.1997375488281,311.218017578125,10.018280029296875
transient,??,worker_01_case_0001_T0301p201K,211955,0.0491982065141201,0.01047672238200903,0.4919820578100971,0.5238361308091014,301.19970703125,311.19482421875,9.9951171875
transient,??,worker_01_case_0001_T0301p201K,128927,0.050700001418590546,0.010820130817592144,0.5070000066310166,0.541006552972046,301.19970703125,311.4345703125,10.23486328125
transient,??,worker_01_case_0001_T0301p201K,167901,0.05054999887943268,0.010906733572483063,0.5054999812617901,0.545336690813378,301.19970703125,311.25665283203125,10.05694580078125
transient,??,worker_01_case_0001_T0301p201K,213426,0.04969999939203262,0.010993335396051407,0.4969999865144493,0.5496667820885803,301.1996765136719,311.1478271484375,9.948150634765625
transient,??,worker_01_case_0001_T0301p201K,213136,0.04975000023841858,0.011253143660724163,0.4974999949708582,0.5626571956125765,301.1996765136719,311.12939453125,9.929718017578125
transient,??,worker_01_case_0001_T0301p201K,216498,0.04964999854564667,0.011426348239183426,0.49649997805804047,0.5713174247291108,301.19964599609375,311.2978515625,10.09820556640625
transient,??,worker_01_case_0001_T0301p201K,123196,0.04960000142455101,0.011686156503856182,0.49600000685453405,0.5843078382531071,301.19964599609375,311.2066650390625,10.00701904296875
transient,??,worker_01_case_0001_T0301p201K,145492,0.0502999983727932,0.011859361082315445,0.5029999762326482,0.5929680673696414,301.1996154785156,311.435546875,10.235931396484375
transient,??,worker_01_case_0001_T0301p201K,228809,0.049550000578165054,0.011945963837206364,0.4954999983981252,0.5972982052109734,301.1996154785156,311.29656982421875,10.096954345703125
transient,??,worker_01_case_0001_T0301p201K,228757,0.049949999898672104,0.012119168415665627,0.49949999154359115,0.6059584343275077,301.1996154785156,311.13507080078125,9.935455322265625
transient,??,worker_01_case_0001_T0301p201K,179480,0.04975000023841858,0.012292373925447464,0.4974999949708582,0.6146187100101719,301.1995849609375,311.14239501953125,9.94281005859375
transient,??,worker_01_case_0001_T0301p201K,151533,0.04919999837875366,0.012552181258797646,0.49199997645616567,0.6276090769680384,301.1995849609375,311.31597900390625,10.11639404296875
transient,??,worker_01_case_0001_T0301p201K,120568,0.051100000739097595,0.012898591347038746,0.5109999997764826,0.6449295817672368,301.1995544433594,311.472900390625,10.273345947265625
transient,??,worker_01_case_0001_T0301p201K,120553,0.04960000142455101,0.013071796856820583,0.49600000685453405,0.653589857449901,301.19952392578125,311.158935546875,9.95941162109375
transient,??,worker_01_case_0001_T0301p201K,143946,0.0494999997317791,0.013245001435279846,0.49499998994171635,0.6622500865664352,301.19952392578125,311.38104248046875,10.1815185546875
transient,??,worker_01_case_0001_T0301p201K,164231,0.050850000232458115,0.013504809699952602,0.5084999947473408,0.6752405000904315,301.19952392578125,311.29156494140625,10.092041015625
transient,??,worker_01_case_0001_T0301p201K,160340,0.050200000405311584,0.013937822543084621,0.501999996572733,0.696891142730962,301.1994934082031,311.45135498046875,10.251861572265625
transient,??,worker_01_case_0001_T0301p201K,161204,0.04975000023841858,0.014024424366652966,0.4974999949708582,0.7012212340061642,301.199462890625,311.06793212890625,9.86846923828125
transient,??,worker_01_case_0001_T0301p201K,183225,0.04904999956488609,0.014197629876434803,0.49049998833984154,0.7098815096888283,301.199462890625,310.90277099609375,9.70330810546875
transient,??,worker_01_case_0001_T0301p201K,177031,0.0515500009059906,0.01471724547445774,0.5155000013783574,0.7358622901706909,301.1994323730469,311.56744384765625,10.368011474609375
transient,??,worker_01_case_0001_T0301p201K,167709,0.050999999046325684,0.014977052807807922,0.5099999828636649,0.7488526571285573,301.19940185546875,311.23602294921875,10.03662109375
transient,??,worker_01_case_0001_T0301p201K,159067,0.05014999955892563,0.015236860141158104,0.5014999881163241,0.7618430240864238,301.19940185546875,311.31884765625,10.11944580078125
transient,??,worker_01_case_0001_T0301p201K,169801,0.04964999854564667,0.015410065650939941,0.49649997805804047,0.7705032997690878,301.1993713378906,311.14422607421875,9.944854736328125
transient,??,worker_01_case_0001_T0301p201K,188406,0.04910000041127205,0.015496667474508286,0.4909999967962504,0.7748333910442902,301.1993713378906,311.50830078125,10.308929443359375
transient,??,worker_01_case_0001_T0301p201K,224861,0.05104999989271164,0.015929680317640305,0.5104999913200737,0.7964840336848207,301.1993408203125,311.17523193359375,9.97589111328125
